piece	type	name	cat	weight	img	x	y	z
dupcarbody04	B	Duplo Car Body Old Fashioned Racer with Number 1 in Circle Pattern (fits over Car Base 2 x 6)	488	29	http://www.bricklink.com/PL/dupcarbody04	\N	\N	\N
dupcarbody06	B	Duplo Car Body Old Fashioned Racer with Blue Horseshoe Pattern (fits over Car Base 2 x 6)	488	19	http://www.bricklink.com/PL/dupcarbody06	\N	\N	\N
dupcarbody07	B	Duplo Car Body Wagon with Horseshoe and Rope Pattern (fits over Car Base 2 x 6)	488	29	http://www.bricklink.com/PL/dupcarbody07	\N	\N	\N
dupcarbody08	B	Duplo Car Body Old Fashioned Racer with Smiling Star / Starfish Pattern (fits over Car Base 2 x 6)	488	\N	http://www.bricklink.com/PL/dupcarbody08	\N	\N	\N
dupcarbody09	B	Duplo Car Body School Bus with Books Pattern (fits over Car Base 2 x 6)	488	96	http://www.bricklink.com/PL/dupcarbody09	\N	\N	\N
dupcarbody10	B	Duplo Car Body Truck with Crane Pattern (Fits over Car Base 2 x 6)	488	\N	http://www.bricklink.com/PL/dupcarbody10	\N	\N	\N
dupcarbody11	B	Duplo Car Body Old Fashioned Racer (fits over Car Base 2 x 6)	488	\N	http://www.bricklink.com/PL/dupcarbody11	\N	\N	\N
dupcarbody12	B	Duplo Car Body Tractor with Grille Pattern (fits over Car Base 2 x 6)	488	20	http://www.bricklink.com/PL/dupcarbody12	\N	\N	\N
dupcarbody13	B	Duplo Car Body Tractor (fits over Car Base 2 x 6)	488	43	http://www.bricklink.com/PL/dupcarbody13	\N	\N	\N
dupcart	B	Duplo Shopping Cart 2 x 3	167	8	http://www.bricklink.com/PL/dupcart	\N	\N	\N
dupcopterpb01	B	Duplo Helicopter Body (Skids not Removable) with Life Preserver Pattern	640	86	http://www.bricklink.com/PL/dupcopterpb01	\N	\N	\N
dupcopterpb02	B	Duplo Helicopter Body (Skids not Removable) with Sun Pattern	640	\N	http://www.bricklink.com/PL/dupcopterpb02	\N	\N	\N
dupdoor1	B	Duplo Door / Window with Porthole	167	5	http://www.bricklink.com/PL/dupdoor1	\N	\N	\N
dupdoor1pb01	B	Duplo Door / Window with Porthole and 'BOAT YARD' Pattern	167	5	http://www.bricklink.com/PL/dupdoor1pb01	\N	\N	\N
duphen1	B	Duplo Chicken, Hen Tail, Smooth Comb, without Base	420	8	http://www.bricklink.com/PL/duphen1	\N	\N	\N
duphen2	B	Duplo Chicken, Hen Tail, Smooth Comb, on Green Base	420	10	http://www.bricklink.com/PL/duphen2	\N	\N	\N
duphenold	B	Duplo Chicken, Hen Tail, Smooth Comb, without Base, Old Style	420	14.5	http://www.bricklink.com/PL/duphenold	\N	\N	\N
duphouse	B	Duplo Building House 12 x 12 with Doors and Windows and Handles	167	404	http://www.bricklink.com/PL/duphouse	\N	\N	\N
duploracer02	B	Duplo Car Formula One with Blue Bottom and Yellow Number 2 Pattern	488	51	http://www.bricklink.com/PL/duploracer02	\N	\N	\N
