204	205	51592131	de	freetheyazz	Yasmin	17615
45	98	1374151627	de	diesererik	Erik	1288
4666	131	19583950	de	EWE_Baskets	EWE Baskets	6757
2922	2920	571902927	de	MaxundMichaKrim	Klaus Kurt Löffler	43233
71	361	827474898	de	TGersner	Tiger83	4264
1820	65	104864730	de	_ItsDilara	Dilara	115
23	51	163791835	de	nerunezumi	momo	5348
1	20	26711005	en	Goetzi	Dagmar Götz	16
112	43	1855503528	de	PK_Stuttgart	PK Stuttgart	1222
44	22	171013114	de	lebendigemeinde	Lebendige Gemeinde	259
68	60	21238780	de	kc1504	Kilian Wieczorek	2036
32	63	181459969	de	Babsi58089	Bärbel Kutschik	1420
71	9	135216133	de	Tuebingen_markt	markt.de Tübingen	622
472	1337	16536584	en	janinmty	Jan	9602
32	139	5737482	en	joriskdzaack	Joris Karl Dzaack	440
50	2	451759459	en	kajqur	Jered Riojas	31688
1229	1288	374074381	de	schoeneswetterc	schoeneswettercom.de	57381
13	42	268790801	en	enpleinjour	Isi	1673
26	50	91382802	de	lukablum	Veit Müller	100
8	69	251221014	ja	cygnids	Cygnus	13638
1366	1324	20798495	en	theRykka	Rykka	2498
54	51	403031074	de	WGcast	WGcast	4786
2720	2199	460547107	en	NathaliaHolt	Nathalia Holt	1594
59	19	119382195	de	muv_nachrichten	MUV/Ermstalbote	2350
551	1814	91853877	es	arqueotaylor	Taylor Rigby	10044
519	371	571281588	de	MissbachTatjana	Tanja	60425
119	131	331203650	en	shoujo632	Roxi	6525
48	130	1067781188	de	IcedMoonshine	Maria Magdalena	2227
667	244	12520522	en	chunjp	chunjp	21829
737	104	169477198	de	stuttgart_news	stuttgart_aktuell	12669
1253	961	15270992	en	bwie	BWIE™	3195
4	71	1691350098	de	ediscupcake	Edi	38
703	758	161014875	de	bioteconomy	Biotech News	4119
389	803	280427613	en	ITJobsGermany	Computer Futures DE	14653
1363	937	42835041	de	zaubertrik	Aldenhoven-Info	30814
389	426	142394469	es	JotaInKoelle	Jota, etcétera	27720
506	1034	318829671	es	rshippritt	Ricardo Shippritt E.	18487
94	224	285693032	es	rutmorenohiphop	rut moreno hiphop	1069
158	171	240151657	de	BioRegioSTERN	BioRegio STERN	681
781	776	1619051	en	askibinski	Albert Skibinski	8953
1132	418	73376880	de	dpa_lsw	dpa Südwest	1008
688	401	234286201	de	waltertools	Walter Tools	681
78	237	19180666	de	keksharry	Harald Platz	2680
227	320	1829459071	en	VamBuzz	VamBuzz	4348
168	350	1917611137	es	Te_doy_Retwit	ELIMINEMOS EL SENADO	2250
197	739	27032710	de	MrMartinLouis	Martin Louis	9702
453	1220	1457908880	es	Tripdrift	Tripdrift	487
400	317	76336279	en	SonjaUtz	Sonja Utz	478
47	25	20515994	de	fritzfeger	Fritz Feger	237
1171	1020	21120156	de	MartinKalus	Martin Kalus	14001
441	1485	1479107750	it	davide_roma81	Davide Sarrecchia	616
28	35	1485403304	de	viv_ii00	Vivien.	587
2	55	48981186	de	signpainter	Herr Wenzel	79
29	158	1923579091	en-gb	kallaton	Kallaton	19
196	2	19965142	en	ifp_tuebingen	Polwiss Tuebingen	1151
42	135	434390235	en	nowangev	Shanley Pflueger	42289
242	212	827227357	es	caarlaRoberto	Carla Roberto. 	1751
664	93	104522982	de	ZPID	ZPID Psychologie	3529
489	125	123299049	de	KULTURFINDER	KULTURFINDER	1759
50	198	464563434	de	mara_ta	TriererMädschi	2319
1514	1115	208166125	es	diegopanos	Diego Paños	34906
116	130	86193395	de	tobias_fischer	Tobias Fischer	1582
53	59	1121598714	ja	ikatako1111111	ぱっｐｐ	5033
393	844	262092038	en	TomRuedell	Tom Rüdell	3481
207	231	38886663	en	Hirn_Sieb	HirnundSieb	8230
17	5	187999498	de	coyotecafetue	Coyote Café Tübingen	321
1273	447	718832911	en	BritishNeuro	British_Neuroscience	888
129	840	425291026	de	tjue3	Mätu	2189
593	329	240250133	de	WRS_GmbH	WRS 	494
326	28	181890326	de	museum_uni_tue	MUT - Museum Uni Tü	577
94	181	32183589	en	RafaPetunia	Rafaele	5867
163	135	1522826538	de	amyne_k	Amine	300
17	44	509242589	de	GeographBonn	Michael Reichert	165
214	344	608458032	de	LifeWorkCamp	LifeWorkCamp	570
468	1039	249466419	es	Maistro99	Daniel Valencia	3705
88	223	44602679	en	antoniozippo	Antonio G. Zippo	329
6	18	567317816	de	nklswbr	Niklas Weber 	4
654	612	241220921	de	DerAuenlaender	Johannes L. Scheller	3426
1164	549	16710538	en	wettach	Wolfgang G. Wettach	8268
1044	2	114484544	en	hsozkult	H-Soz-u-Kult	13036
22	39	50025794	de	Shortha	Thu Ha Pham	1188
1588	1994	344083782	de	Sparkasse_Jobs	Sparkasse Karriere	3062
8166	7516	14658888	de	kulturmanager	Christian Hennerfehr	14476
16	27	1585225033	en	MWiltschko	martina wiltschko	13
91	241	334568779	de	matthiasberzel	Matthias Berzel	1453
12	2	198219084	de	BHSAeV	BHSA e.V.	63
131	84	23489878	en	mishoosuniverse	Mishoo The Drumkit	1141
457	399	850527578	de	PriCoBe	Knut Bochum 	21311
38	111	465145182	en	protractedyy34	Milly Mary	35562
1231	1997	586468707	de	rolf_reitz	Rolf Reitz	21097
198	28	352597222	de	Banane0711	PS Bananenbieger	3361
