33254b	M	Mickey Mouse Figure with Blue Shirt, Red Pants (no cap)	149	9	http://www.bricklink.com/ML/33254b
33254c	M	Mickey Mouse Figure with Red Pants, Black Fireman Uniform, Black Cap	149	10	http://www.bricklink.com/ML/33254c
33261	M	Disney Pluto Dog	149	8.22000027	http://www.bricklink.com/ML/33261
41983	M	Troll - HP	227	11.8400002	http://www.bricklink.com/ML/41983
4203	M	Duplo Figure Little Robots, Stripy	167	30.6000004	http://www.bricklink.com/ML/4203
44310	M	Duplo Figure Little Robots, Tiny	167	11.5	http://www.bricklink.com/ML/44310
44383	M	Duplo Figure Little Robots, Sporty	167	25	http://www.bricklink.com/ML/44383
44732	M	Duplo Figure Little Robots, Messy	167	14.9200001	http://www.bricklink.com/ML/44732
45001	M	Duplo Figure Little Robots, Stretchy	167	20.4200001	http://www.bricklink.com/ML/45001
45219c01	M	Primo Figure Head Policeman with Helmet	294	28	http://www.bricklink.com/ML/45219c01
45219c02	M	Primo Figure Head Fireman with Helmet	294	28	http://www.bricklink.com/ML/45219c02
45219c03	M	Primo Figure Head Truck Driver with Helmet	294	28	http://www.bricklink.com/ML/45219c03
45219c04	M	Primo Figure Head Construction Worker with Helmet	294	28	http://www.bricklink.com/ML/45219c04
4534-1	M	Clikits Figure Heart - Yellow Hair, Light Green Top, Magenta Skirt	490	7.30000019	http://www.bricklink.com/ML/4534
4555pb001	M	Duplo Figure, Male Clown, Red Legs, Yellow Top with 2 Buttons, Yellow Arms, Blue Aviator Helmet	167	16	http://www.bricklink.com/ML/4555pb001
4555pb002	M	Duplo Figure, Male Clown, Red Legs, Yellow Top with 2 Buttons, Blue Arms, Red Hair Straight	167	16	http://www.bricklink.com/ML/4555pb002
4555pb003	M	Duplo Figure, Female, Light Green Legs, Yellow Blouse, Black Hair, Asian Eyes	167	17.6000004	http://www.bricklink.com/ML/4555pb003
4555pb004	M	Duplo Figure, Female, Pink Legs, White Blouse, Black Hair	167	17.6000004	http://www.bricklink.com/ML/4555pb004
4555pb005	M	Duplo Figure, Female, Yellow Legs, Dark Gray Top with Yellow Zipper and Blue Arms, Black Ponytail	167	17.8099995	http://www.bricklink.com/ML/4555pb005
4555pb006	M	Duplo Figure, Female, Blue Legs, White Top with Blue Overalls with Red Hearts	167	16	http://www.bricklink.com/ML/4555pb006
4555pb007	M	Duplo Figure, Female, White Legs, Blue Striped Top, Flesh Arms, Ponytail	167	17.7999992	http://www.bricklink.com/ML/4555pb007
4555pb008	M	Duplo Figure, Female, Yellow Legs, Red Sweater with Yellow V Stitching, Brown Hair, Turned Up Nose	167	17.6000004	http://www.bricklink.com/ML/4555pb008
4555pb008b	M	Duplo Figure, Female, Yellow Legs, Red Sweater with Yellow V Stitching, Brown Hair, Turned Down Nose	167	17.6000004	http://www.bricklink.com/ML/4555pb008b
4555pb009	M	Duplo Figure, Female, Light Green Legs, White Top with Light Green Overalls with Pink Buttons, Fabuland Brown Hair	167	16	http://www.bricklink.com/ML/4555pb009
4555pb010	M	Duplo Figure, Female, White Legs, Blue Top with Scarf and Jet Airplane, Brown Hair, Turned Down Nose (Flight Attendant)	167	17.6800003	http://www.bricklink.com/ML/4555pb010
4555pb011	M	Duplo Figure, Female, Yellow Legs, Red Blouse with White Collar, Gray Hair, Glasses, Asian Eyes	167	17.6800003	http://www.bricklink.com/ML/4555pb011
4555pb012	M	Duplo Figure, Female, Yellow Legs, Light Green Top with Heart Buttons, Gray Hair, Brown Head	167	16	http://www.bricklink.com/ML/4555pb012
4555pb013	M	Duplo Figure, Female, Red Legs, Yellow Top with Red Necklace, Gray Hair, Glasses	167	17.6000004	http://www.bricklink.com/ML/4555pb013
4555pb014	M	Duplo Figure, Female, Light Green Legs, White Blouse, Gray Hair, Glasses	167	17.6100006	http://www.bricklink.com/ML/4555pb014
4555pb015	M	Duplo Figure, Female, Blue Legs, Red Jacket, Light Gray Hair, Glasses	167	16	http://www.bricklink.com/ML/4555pb015
4555pb016	M	Duplo Figure, Female Medic, White Legs, White Top, Black Hair	167	17.6000004	http://www.bricklink.com/ML/4555pb016
4555pb017	M	Duplo Figure, Female Medic, Orange Legs, Zippered Jacket with Medic Badge	167	17.6000004	http://www.bricklink.com/ML/4555pb017
4555pb018	M	Duplo Figure, Female Police, Light Gray Legs, Yellow Hair	167	16	http://www.bricklink.com/ML/4555pb018
4555pb019	M	Duplo Figure, Female, Black Legs, Red Tie and Black Suit, Yellow Hair	167	16	http://www.bricklink.com/ML/4555pb019
4555pb020	M	Duplo Figure, Female, Red Legs, Yellow Top Unbuttoned with Red Buttons, Fabuland Brown Hair	167	17.6000004	http://www.bricklink.com/ML/4555pb020
4555pb021	M	Duplo Figure, Female, Wendy in Wallpapering Outfit	167	17.9599991	http://www.bricklink.com/ML/4555pb021
4555pb022	M	Duplo Figure, Female, Red Legs, Yellow Blouse with Red Buttons, Brown Hair	167	16	http://www.bricklink.com/ML/4555pb022
4555pb023	M	Duplo Figure, Female Zoo, Green Legs, Green Uniform, Yellow Hair (Zoo Keeper)	167	17.2299995	http://www.bricklink.com/ML/4555pb023
4555pb024	M	Duplo Figure, Male, Green Legs, Black Top, Red Scarf, Cowboy Hat (Western Bad Guy)	167	18.7900009	http://www.bricklink.com/ML/4555pb024
4555pb025	M	Duplo Figure, Male, Dark Gray Legs, Dark Gray Zippered Coat, Blue Arms, Black Hair	167	15.9300003	http://www.bricklink.com/ML/4555pb025
4555pb026	M	Duplo Figure, Male Action Wheeler, Blue Legs, Blue Jumpsuit with Parachute Straps, Black Racing Helmet	167	17.5	http://www.bricklink.com/ML/4555pb026
4555pb027	M	Duplo Figure, Male, Blue Legs, Red Top with Blue Overalls, Blue Cap, Turned Up Nose	167	16.5	http://www.bricklink.com/ML/4555pb027
4555pb028	M	Duplo Figure, Male, Blue Legs, Blue Top Plaid with Pocket, Black Hair	167	16	http://www.bricklink.com/ML/4555pb028
4555pb029	M	Duplo Figure, Male, Black Legs, Red and Blue Zippered Jacket, Blue Racing Helmet	167	17.2900009	http://www.bricklink.com/ML/4555pb029
4555pb030	M	Duplo Figure, Male, Bob the Builder	167	15.5	http://www.bricklink.com/ML/4555pb030
4555pb031	M	Duplo Figure, Male, Bob the Builder with Construction Jacket	167	15.5	http://www.bricklink.com/ML/4555pb031
4555pb032	M	Duplo Figure, Male, Blue Legs, Yellow Top with Tennis Racket and Ball Pattern, Brown Hair	167	16	http://www.bricklink.com/ML/4555pb032
4555pb033	M	Duplo Figure, Male, Blue Legs, White Two Button Cardigan, Brown Hair	167	15.5	http://www.bricklink.com/ML/4555pb033
4555pb034	M	Duplo Figure, Male, Tan Legs, Blue Zippered Jacket, Black Curly Hair, Brown Head	167	15.8999996	http://www.bricklink.com/ML/4555pb034
4555pb035	M	Duplo Figure, Male, Brown Legs, Flesh Top (Caveman)	167	16	http://www.bricklink.com/ML/4555pb035
4555pb036	M	Duplo Figure, Male, Black Legs, Red Top, Top Hat (Circus Ringmaster)	167	17.75	http://www.bricklink.com/ML/4555pb036
4555pb037	M	Duplo Figure, Male Action Wheeler, Blue Legs, Dark Gray Top with ID Badge with Belt, Yellow Cap, Sunglasses	167	16.7000008	http://www.bricklink.com/ML/4555pb037
4555pb038	M	Duplo Figure, Male, Blue Legs, Yellow Top with Black Stripes and Lego Logo, Construction Hat White	167	15.6300001	http://www.bricklink.com/ML/4555pb038
4555pb039	M	Duplo Figure, Male, Light Gray Legs, Tan Top, Cowboy Hat	167	17	http://www.bricklink.com/ML/4555pb039
4555pb040	M	Duplo Figure, Male, Red Legs, Red Top with Octan Logo, Crooked Blue Hat	167	16.7000008	http://www.bricklink.com/ML/4555pb040
4555pb041	M	Duplo Figure, Male, Orange Legs, Orange Top with Racer Zipper, Green Arms, Black Helmet	167	17.2900009	http://www.bricklink.com/ML/4555pb041
4555pb042	M	Duplo Figure, Male Action Wheeler, White Legs, White Top with Racer Red Lightning Bolt and Lines, Red Helmet with Big Eyes	167	17	http://www.bricklink.com/ML/4555pb042
4555pb043	M	Duplo Figure, Male Fireman, Black Legs, Black Top with Fire Logo and Zipper, White Fire Helmet, Moustache	167	16.3999996	http://www.bricklink.com/ML/4555pb043
4555pb044	M	Duplo Figure, Male Fireman, Black Legs, Black Top with Fire Logo and Zipper, Blue Aviator Helmet	167	16.5100002	http://www.bricklink.com/ML/4555pb044
